text,drug,effect,indexes,label
Fulminant hepatic failure is a rare complication of disulfiram treatment for alcoholism.,disulfiram,Fulminant hepatic failure,"{'drug': {'start_char': array([52], dtype=int32), 'end_char': array([62], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([25], dtype=int32)}}",1
"The authors think that although lamivudine is widely used and well tolerated, it can cause ADRs, which are reversible after drug withdrawal.",lamivudine,ADRs,"{'drug': {'start_char': array([32], dtype=int32), 'end_char': array([42], dtype=int32)}, 'effect': {'start_char': array([91], dtype=int32), 'end_char': array([95], dtype=int32)}}",1
Upper gastrointestinal haemorrhage is a serious complication of aspirin and clopidogrel (dual) anti-platelet therapy with a high morbidity and mortality.,clopidogrel,mortality,0,0
"BACKGROUND: Methotrexate (MTX) may induce liver damage, which in some psoriatics will lead to fibrosis or cirrhosis.",lead,cirrhosis,0,0
"We report a case of a 60-year-old woman affected by squamous lung carcinoma, who developed paroxysmal supraventricular tachycardia during cisplatin and etoposide combination chemotherapy.",etoposide,carcinoma,0,0
"Risperidone is a frequently used member of a new class of atypical antipsychotics-the serotonin-dopamine antagonists (SDAs)-due to its comparatively high efficacy and low D2/5HT2 binding ratio, which results in a low incidence of extrapyramidal side effects including tardive dyskinesia (TD).",dopamine,dyskinesia,0,0
Haemolytic-uraemic syndrome complicating long-term mitomycin C and 5-fluorouracil therapy for gastric carcinoma.,mitomycin,carcinoma,0,0
"Ticlopidine is an oral antiplatelet agent frequently utilized in the treatment of cerebrovascular disease and is rarely associated with severe bone marrow suppression, typically aplastic anemia.",Ticlopidine,aplastic anemia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}, 'effect': {'start_char': array([178], dtype=int32), 'end_char': array([193], dtype=int32)}}",1
"Herein, we describe a patient with AIDS who presented to medical attention with pancytopenia 48 months postchemotherapy with etoposide, prednisone, vincristine, cyclophosphamide, doxorubicin, and rituximab (R-EPOCH) for diffuse large B-cell lymphoma.",doxorubicin,lymphoma,0,0
Patients with lymphoblastic lymphoma who had treatment with L-asparaginase and steroid are predisposed to the development of cortical venous thrombosis and may have this syndrome in addition to a dural puncture headache.,steroid,lymphoma,0,0
We report two cases that developed acute myeloid leukaemia (AML) during tamoxifen therapy for breast cancer.,tamoxifen,acute myeloid leukaemia,"{'drug': {'start_char': array([72], dtype=int32), 'end_char': array([81], dtype=int32)}, 'effect': {'start_char': array([35], dtype=int32), 'end_char': array([58], dtype=int32)}}",1
"CASE SUMMARY: A 57-year-old female with cardiomyopathy and ""sulfa"" (trimethoprim/sulfamethoxazole) allergy documented as pancreatitis presented with symptoms consistent with pancreatitis after use of furosemide.",trimethoprim,allergy,0,0
Acute non-lymphocytic leukemia in patients with ovarian carcinoma following long-term treatment with Treosulfan (= dihydroxybusulfan).,dihydroxybusulfan,carcinoma,0,0
Anaphylaxis after the injection of chymopapain occurs in about 1% of such cases.,chymopapain,Anaphylaxis,"{'drug': {'start_char': array([35], dtype=int32), 'end_char': array([46], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}}",1
"A patient suffering from heparin-associated thrombocytopenia (HAT), recurrent arteriothromboses, and acute renal failure after treatment with standard heparin is described.",heparin,acute renal failure,"{'drug': {'start_char': array([ 25, 151], dtype=int32), 'end_char': array([ 32, 158], dtype=int32)}, 'effect': {'start_char': array([101], dtype=int32), 'end_char': array([120], dtype=int32)}}",1
Cutaneous sarcoidosis during interferon alfa and ribavirin treatment of hepatitis C virus infection: two cases.,interferon,hepatitis,0,0
We describe a 57-year-old man with acral erythrocyanosis progressing to acute digital ischemia and gangrene that developed after combined chemotherapy (bleomycin and methotrexate) used to treat a metastatic squamous cell carcinoma of the hypopharynx.,methotrexate,carcinoma,0,0
"An association of granulocytopenia, eosinophilia, skin reaction and hepatitis during propylthiouracil (PTU) therapy for thyrotoxicosis in a 47 year old black female is reported.",propylthiouracil,eosinophilia,"{'drug': {'start_char': array([85], dtype=int32), 'end_char': array([101], dtype=int32)}, 'effect': {'start_char': array([36], dtype=int32), 'end_char': array([48], dtype=int32)}}",1
Recent studies have shown that under experimental conditions ferrous sulfate may reduce the gastrointestinal absorption of orally administered levothyroxine sodium in patients with primary hypothyroidism.,levothyroxine,hypothyroidism,0,0
"Two cases of lepromatous leprosy with erythema nodosum leprosum who were on high doses of clofazimine, showed discoloration of nail plate, subungual hyperkeratosis and onycholysis.",clofazimine,discoloration of nail plate,"{'drug': {'start_char': array([90], dtype=int32), 'end_char': array([101], dtype=int32)}, 'effect': {'start_char': array([110], dtype=int32), 'end_char': array([137], dtype=int32)}}",1
After nine previous uncomplicated cycles she developed severe anaphylaxis to cisplatin.,cisplatin,anaphylaxis,"{'drug': {'start_char': array([77], dtype=int32), 'end_char': array([86], dtype=int32)}, 'effect': {'start_char': array([62], dtype=int32), 'end_char': array([73], dtype=int32)}}",1
"A 62-year-old Indian with diabetic nephropathy controlled with metformin, developed miliary tuberculosis for which he was treated with rifampicin, isoniazid and ethambutol.",ethambutol,nephropathy,0,0
Putaminal infarct in methanol intoxication: case report and role of brain imaging studies.,methanol,methanol intoxication,"{'drug': {'start_char': array([21], dtype=int32), 'end_char': array([29], dtype=int32)}, 'effect': {'start_char': array([21], dtype=int32), 'end_char': array([42], dtype=int32)}}",1
Patient A reported right leg weakness (foot drop) during week 4 of CAP-XRT (1600 mg/m2).,CAP-XRT,foot drop,"{'drug': {'start_char': array([67], dtype=int32), 'end_char': array([74], dtype=int32)}, 'effect': {'start_char': array([39], dtype=int32), 'end_char': array([48], dtype=int32)}}",1
Development of sarcoidosis during interferon alpha 2b and ribavirin combination therapy for chronic hepatitis C--a case report and review of the literature.,interferon,hepatitis,0,0
"The toxicity and plasma concentrations of ifosfamide, chloroacetaldehyde, and 4-hydroxyifosfamide were then determined over 24 h after a single 1.6 g/m2 dose of ifosfamide.",ifosfamide,toxicity,"{'drug': {'start_char': array([ 42,  87, 161], dtype=int32), 'end_char': array([ 52,  97, 171], dtype=int32)}, 'effect': {'start_char': array([4], dtype=int32), 'end_char': array([12], dtype=int32)}}",1
"Typically, drug-induced neutropenia occurs in a patient receiving a semisynthetic penicillin for two weeks or more.",penicillin,neutropenia,"{'drug': {'start_char': array([82], dtype=int32), 'end_char': array([92], dtype=int32)}, 'effect': {'start_char': array([24], dtype=int32), 'end_char': array([35], dtype=int32)}}",1
We describe a renal transplant recipient maintained on cyclosporine and prednisone developing Nocardia Asteroides brain abscess.,prednisone,cyclosporine,0,0
Fatal radiation myelopathy after high-dose busulfan and melphalan chemotherapy and radiotherapy for Ewing's sarcoma: a review of the literature and implications for practice.,melphalan,sarcoma,0,0
"Thirty-six patients with AL received, in a three-month period, 51 cycles of combined chemotherapy which included, in all of them, cytosine arabinoside (ARA-C); among them, along with myelosuppression, five experienced fever, infectious complications, gastrointestinal tract symptoms and severe myalgias.",ARA-C,fever,"{'drug': {'start_char': array([152], dtype=int32), 'end_char': array([157], dtype=int32)}, 'effect': {'start_char': array([218], dtype=int32), 'end_char': array([223], dtype=int32)}}",1
Possible interaction between lopinavir/ritonavir and valproic Acid exacerbates bipolar disorder.,lopinavir,interaction,0,0
"A patient developed transient, acute myopia while on isotretinoin (Accutane) therapy for acne.",isotretinoin,acne,0,0
Acetazolamide-accelerated anticonvulsant osteomalacia.,Acetazolamide,osteomalacia,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}, 'effect': {'start_char': array([41], dtype=int32), 'end_char': array([53], dtype=int32)}}",1
"Eleven days after initiation of therapy with amiodarone, the patient experienced syncope and was noted to have recurrent episodes of polymorphous ventricular tachycardia.",amiodarone,syncope,"{'drug': {'start_char': array([45], dtype=int32), 'end_char': array([55], dtype=int32)}, 'effect': {'start_char': array([81], dtype=int32), 'end_char': array([88], dtype=int32)}}",1
"In this report we present four patients treated with a combination of different psychotropic drugs, in whom asterixis was triggered either by adding carbamazepine (CBZ) to a treatment regimen, or by increasing its dosage.",carbamazepine,asterixis,"{'drug': {'start_char': array([149], dtype=int32), 'end_char': array([162], dtype=int32)}, 'effect': {'start_char': array([108], dtype=int32), 'end_char': array([117], dtype=int32)}}",1
We report two new cases of sarcoidosis in two patients with hepatitis C virus infection treated with interferon alfa and ribavirin.,interferon,infection,0,0
We report on a patient with an embryonal teratocarcinoma of the testicle who had the syndrome of inappropriate secretion of antidiuretic hormone after receiving a high dose of vinblastine.,vinblastine,inappropriate secretion of antidiuretic hormone,"{'drug': {'start_char': array([176], dtype=int32), 'end_char': array([187], dtype=int32)}, 'effect': {'start_char': array([97], dtype=int32), 'end_char': array([144], dtype=int32)}}",1
"BACKGROUND: Accutane a teratogenic prescription drug licensed to treat severe, recalcitrant nodular acne.",Accutane,teratogenic,"{'drug': {'start_char': array([12], dtype=int32), 'end_char': array([20], dtype=int32)}, 'effect': {'start_char': array([23], dtype=int32), 'end_char': array([34], dtype=int32)}}",1
The fifth patient exhibited paraesthesia and agitation caused by olanzapine that was misdiagnosed as psychotic agitation.,olanzapine,paraesthesia,"{'drug': {'start_char': array([65], dtype=int32), 'end_char': array([75], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([40], dtype=int32)}}",1
Lithium treatment was terminated in 1975 because of lithium intoxication with a diabetes insipidus-like syndrome.,lithium,diabetes insipidus-like syndrome,"{'drug': {'start_char': array([52], dtype=int32), 'end_char': array([59], dtype=int32)}, 'effect': {'start_char': array([80], dtype=int32), 'end_char': array([112], dtype=int32)}}",1
"Fatal pulmonary fibrosis following 1,3-bis(2-chloroethyl)-1-nitrosourea (BCNU) therapy.",BCNU,Fatal pulmonary fibrosis,"{'drug': {'start_char': array([73], dtype=int32), 'end_char': array([77], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([24], dtype=int32)}}",1
